"Period","variable","value"
2014-11-03,"Black_Friday",0
2014-11-10,"Black_Friday",0
2014-11-17,"Black_Friday",0
2014-11-24,"Black_Friday",221347.446191627
2014-12-01,"Black_Friday",0
2014-12-08,"Black_Friday",0
2014-12-15,"Black_Friday",0
2014-12-22,"Black_Friday",0
2014-12-29,"Black_Friday",0
2015-01-05,"Black_Friday",0
2015-01-12,"Black_Friday",0
2015-01-19,"Black_Friday",0
2015-01-26,"Black_Friday",0
2015-02-02,"Black_Friday",0
2015-02-09,"Black_Friday",0
2015-02-16,"Black_Friday",0
2015-02-23,"Black_Friday",0
2015-03-02,"Black_Friday",0
2015-03-09,"Black_Friday",0
2015-03-16,"Black_Friday",0
2015-03-23,"Black_Friday",0
2015-03-30,"Black_Friday",0
2015-04-06,"Black_Friday",0
2015-04-13,"Black_Friday",0
2015-04-20,"Black_Friday",0
2015-04-27,"Black_Friday",0
2015-05-04,"Black_Friday",0
2015-05-11,"Black_Friday",0
2015-05-18,"Black_Friday",0
2015-05-25,"Black_Friday",0
2015-06-01,"Black_Friday",0
2015-06-08,"Black_Friday",0
2015-06-15,"Black_Friday",0
2015-06-22,"Black_Friday",0
2015-06-29,"Black_Friday",0
2015-07-06,"Black_Friday",0
2015-07-13,"Black_Friday",0
2015-07-20,"Black_Friday",0
2015-07-27,"Black_Friday",0
2015-08-03,"Black_Friday",0
2015-08-10,"Black_Friday",0
2015-08-17,"Black_Friday",0
2015-08-24,"Black_Friday",0
2015-08-31,"Black_Friday",0
2015-09-07,"Black_Friday",0
2015-09-14,"Black_Friday",0
2015-09-21,"Black_Friday",0
2015-09-28,"Black_Friday",0
2015-10-05,"Black_Friday",0
2015-10-12,"Black_Friday",0
2015-10-19,"Black_Friday",0
2015-10-26,"Black_Friday",0
2015-11-02,"Black_Friday",0
2015-11-09,"Black_Friday",0
2015-11-16,"Black_Friday",0
2015-11-23,"Black_Friday",0
2015-11-30,"Black_Friday",221347.446191627
2015-12-07,"Black_Friday",0
2015-12-14,"Black_Friday",0
2015-12-21,"Black_Friday",0
2015-12-28,"Black_Friday",0
2016-01-04,"Black_Friday",0
2016-01-11,"Black_Friday",0
2016-01-18,"Black_Friday",0
2016-01-25,"Black_Friday",0
2016-02-01,"Black_Friday",0
2016-02-08,"Black_Friday",0
2016-02-15,"Black_Friday",0
2016-02-22,"Black_Friday",0
2016-02-29,"Black_Friday",0
2016-03-07,"Black_Friday",0
2016-03-14,"Black_Friday",0
2016-03-21,"Black_Friday",0
2016-03-28,"Black_Friday",0
2016-04-04,"Black_Friday",0
2016-04-11,"Black_Friday",0
2016-04-18,"Black_Friday",0
2016-04-25,"Black_Friday",0
2016-05-02,"Black_Friday",0
2016-05-09,"Black_Friday",0
2016-05-16,"Black_Friday",0
2016-05-23,"Black_Friday",0
2016-05-30,"Black_Friday",0
2016-06-06,"Black_Friday",0
2016-06-13,"Black_Friday",0
2016-06-20,"Black_Friday",0
2016-06-27,"Black_Friday",0
2016-07-04,"Black_Friday",0
2016-07-11,"Black_Friday",0
2016-07-18,"Black_Friday",0
2016-07-25,"Black_Friday",0
2016-08-01,"Black_Friday",0
2016-08-08,"Black_Friday",0
2016-08-15,"Black_Friday",0
2016-08-22,"Black_Friday",0
2016-08-29,"Black_Friday",0
2016-09-05,"Black_Friday",0
2016-09-12,"Black_Friday",0
